Wall time,Step,Value
1621413204.8364105,80,16.0
1621413204.8459635,158,15.800000190734863
1621413204.857921,262,17.46666717529297
1621413204.8672676,346,17.299999237060547
1621413204.8739257,429,17.15999984741211
1621413204.8857715,567,18.899999618530273
1621413204.8960507,655,18.714284896850586
1621413204.9103057,801,20.024999618530273
1621413204.9193249,904,20.08888816833496
1621413205.0052829,1022,20.440000534057617
1621413205.3563194,1124,20.436363220214844
1621413205.7713437,1236,20.600000381469727
1621413206.07324,1316,20.24615478515625
1621413206.2958753,1377,19.671428680419922
1621413206.582539,1456,19.413333892822266
1621413206.9377873,1554,19.424999237060547
1621413207.338956,1664,19.57647132873535
1621413207.6941621,1761,19.566667556762695
1621413208.1326478,1879,19.778947830200195
1621413208.4655757,1968,19.68000030517578
1621413208.8845153,2081,20.010000228881836
1621413209.2847369,2191,20.329999923706055
1621413209.6468377,2284,20.219999313354492
1621413210.2311707,2416,20.700000762939453
1621413210.5604618,2499,20.700000762939453
1621413210.877663,2584,20.170000076293945
1621413211.2634683,2685,20.299999237060547
1621413211.8028438,2817,20.15999984741211
1621413212.2713594,2909,20.049999237060547
1621413212.6037247,2981,19.59000015258789
1621413213.0904193,3094,19.700000762939453
1621413213.5938282,3213,19.770000457763672
1621413213.9155571,3293,19.770000457763672
1621413214.2711713,3387,20.100000381469727
1621413214.7318327,3503,20.469999313354492
1621413215.1273117,3598,20.440000534057617
1621413215.4554,3678,20.139999389648438
1621413215.7546198,3757,19.959999084472656
1621413216.0979705,3843,19.639999389648438
1621413216.6140003,3968,20.0
1621413217.014128,4064,19.829999923706055
1621413217.352087,4148,19.56999969482422
1621413217.8048625,4253,19.690000534057617
1621413218.3579073,4363,19.469999313354492
1621413218.8482294,4462,19.6299991607666
1621413219.3834274,4570,19.860000610351562
1621413219.7687232,4645,19.600000381469727
1621413220.3544495,4725,19.079999923706055
1621413220.7697597,4805,18.959999084472656
1621413221.2533755,4897,19.15999984741211
1621413221.6511486,4973,18.790000915527344
1621413222.1821513,5072,18.59000015258789
1621413222.6414812,5157,18.639999389648438
1621413223.3017771,5279,18.920000076293945
1621413223.728795,5362,18.59000015258789
1621413224.2660758,5466,18.68000030517578
1621413224.6589983,5541,18.6299991607666
1621413225.0375018,5613,18.559999465942383
1621413225.512293,5709,18.65999984741211
1621413225.9738245,5796,18.280000686645508
1621413226.4660614,5886,18.219999313354492
1621413226.9752927,5984,18.360000610351562
1621413227.4291873,6068,18.149999618530273
1621413227.8874748,6138,17.75
1621413228.7189004,6239,17.770000457763672
1621413229.1544187,6318,17.479999542236328
1621413229.6223054,6410,17.649999618530273
1621413230.063287,6490,17.649999618530273
1621413230.473712,6568,17.6299991607666
1621413230.9039235,6648,17.510000228881836
1621413231.3693848,6734,17.610000610351562
1621413231.800673,6813,17.40999984741211
1621413232.1613998,6876,17.190000534057617
1621413232.505489,6941,16.6200008392334
1621413232.942472,7026,16.639999389648438
1621413233.3631048,7106,16.399999618530273
1621413233.7215621,7175,16.34000015258789
1621413234.1222682,7251,16.3799991607666
1621413234.576259,7335,16.260000228881836
1621413235.0385609,7419,16.229999542236328
1621413235.4676747,7500,16.139999389648438
1621413235.856146,7576,15.920000076293945
1621413236.3811154,7673,16.049999237060547
1621413236.8089848,7754,16.15999984741211
1621413237.2731578,7839,16.0
1621413237.7378502,7928,16.100000381469727
1621413238.1533537,8004,15.9399995803833
1621413238.593688,8084,15.9399995803833
1621413239.032877,8169,16.010000228881836
1621413239.5121212,8256,16.079999923706055
1621413239.9334345,8335,16.010000228881836
1621413240.4237273,8421,16.079999923706055
1621413240.8280616,8495,16.190000534057617
1621413241.362614,8590,16.489999771118164
1621413241.7552702,8664,16.3799991607666
1621413242.1561697,8742,16.360000610351562
1621413242.6066287,8825,16.5
1621413243.0613015,8907,16.559999465942383
1621413243.5154693,8993,16.579999923706055
1621413243.999764,9083,16.639999389648438
1621413244.4702983,9172,16.719999313354492
1621413244.8830905,9248,16.719999313354492
1621413245.3051066,9325,16.520000457763672
1621413245.7485335,9409,16.549999237060547
1621413246.2326396,9493,16.540000915527344
1621413246.6745362,9577,16.489999771118164
1621413247.1628044,9667,16.6299991607666
1621413247.547766,9742,16.579999923706055
1621413247.9626262,9820,16.510000228881836
1621413248.4426172,9909,16.530000686645508
1621413248.8565547,9985,16.5
1621413249.1797764,10048,16.270000457763672
1621413249.5598092,10119,16.239999771118164
1621413249.8262024,10170,15.800000190734863
1621413250.1369817,10226,15.619999885559082
1621413250.4282188,10281,15.390000343322754
1621413250.7664742,10345,15.199999809265137
1621413251.1595218,10421,15.140000343322754
1621413251.4895742,10482,14.890000343322754
1621413251.7250912,10529,14.460000038146973
1621413252.0542736,10592,14.199999809265137
1621413252.3436992,10646,13.979999542236328
1621413252.6833482,10708,13.829999923706055
1621413252.9313889,10756,13.470000267028809
1621413253.2627192,10818,13.25
1621413253.5006568,10865,12.880000114440918
1621413253.7861102,10919,12.520000457763672
1621413254.1577988,10987,12.449999809265137
1621413254.505396,11052,12.319999694824219
1621413254.8129225,11108,11.989999771118164
1621413255.0932798,11161,11.760000228881836
1621413255.4487085,11230,11.819999694824219
1621413255.7320695,11284,11.649999618530273
1621413256.1276143,11359,11.890000343322754
1621413256.4357512,11415,11.890000343322754
1621413256.76941,11478,11.970000267028809
1621413257.1291595,11546,12.010000228881836
1621413257.5076504,11618,11.970000267028809
1621413258.1959422,11697,12.149999618530273
1621413258.6308527,11760,12.3100004196167
1621413259.0481734,11838,12.460000038146973
1621413259.3861587,11901,12.550000190734863
1621413259.8713012,11975,12.670000076293945
1621413260.2737424,12052,12.960000038146973
1621413260.9982789,12192,13.739999771118164
1621413261.2571363,12242,13.770000457763672
1621413261.6441932,12316,13.970000267028809
1621413262.0584176,12394,14.069999694824219
1621413262.4340343,12468,14.15999984741211
1621413262.788838,12535,14.270000457763672
1621413263.113106,12597,14.359999656677246
1621413263.4938753,12659,14.289999961853027
1621413263.8693547,12731,14.470000267028809
1621413264.2772746,12808,14.489999771118164
1621413264.7675407,12902,14.869999885559082
1621413265.0947213,12965,14.869999885559082
1621413265.4923954,13040,14.9399995803833
1621413265.876943,13110,14.920000076293945
1621413266.303109,13196,14.989999771118164
1621413266.7867584,13290,15.300000190734863
1621413267.146852,13360,15.220000267028809
1621413267.5593843,13435,15.34000015258789
1621413267.9248013,13503,15.279999732971191
1621413268.2519007,13567,15.149999618530273
1621413268.7326167,13654,14.619999885559082
1621413269.123584,13724,14.819999694824219
1621413269.4626808,13791,14.75
1621413269.9732838,13873,14.789999961853027
1621413270.6626947,13968,15.0
1621413271.0748084,14037,15.020000457763672
1621413271.5562453,14127,15.300000190734863
1621413271.9728491,14205,15.460000038146973
1621413272.2978132,14269,15.380000114440918
1621413272.711695,14350,15.420000076293945
1621413273.048902,14415,15.130000114440918
1621413273.4530146,14489,15.239999771118164
1621413273.8507435,14567,15.270000457763672
1621413274.248936,14642,15.319999694824219
1621413274.7463453,14737,15.40999984741211
1621413275.0757172,14799,15.09000015258789
1621413275.687237,14917,15.569999694824219
1621413276.0927436,14988,15.529999732971191
1621413276.5657127,15078,15.75
